Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr),Daily Return
2023-03-21,17060.4,17127.7,17016.0,17107.5,246737873.0,22039.11,0.007010666101575191
2023-03-22,17177.45,17207.25,17107.85,17151.9,185700457.0,15712.0,0.0025953529153881494
2023-03-23,17097.4,17205.4,17045.3,17076.9,219171517.0,19676.97,-0.0043726934042293
2023-03-24,17076.2,17109.45,16917.35,16945.05,228038299.0,19019.88,-0.007720956379670962
2023-03-27,16984.3,17091.0,16918.55,16985.7,218418670.0,18466.56,0.0023989306611666983
2023-03-28,17031.75,17061.75,16913.75,16951.7,238840919.0,20942.5,-0.0020016837692883316
2023-03-29,16977.3,17126.15,16940.6,17080.7,345911087.0,27261.74,0.0076098562386073265
2023-03-31,17210.35,17381.6,17204.65,17359.75,263889033.0,24970.98,0.016337152458622883
2023-04-03,17427.95,17428.05,17312.75,17398.05,230170687.0,20359.58,0.0022062529702329137
2023-04-05,17422.3,17570.55,17402.7,17557.05,248345193.0,23911.75,0.009138955227740997
2023-04-06,17533.85,17638.7,17502.85,17599.15,242708337.0,23543.21,0.002397897141034555
2023-04-10,17634.9,17694.1,17597.95,17624.05,254819382.0,21092.06,0.0014148410576646508
2023-04-11,17704.8,17748.75,17655.15,17722.3,304263454.0,25841.64,0.005574768569085897
2023-04-12,17759.55,17825.75,17717.25,17812.4,232816318.0,22851.93,0.005083990227002344
2023-04-13,17807.3,17842.15,17729.65,17828.0,285764798.0,26460.2,0.0008757943904245113
2023-04-17,17863.0,17863.0,17574.05,17706.85,357401212.0,35118.57,-0.006795490240071866
2023-04-18,17766.6,17766.6,17610.2,17660.15,258856690.0,23032.99,-0.0026373973914048943
2023-04-19,17653.35,17666.15,17579.85,17618.75,281463379.0,21562.08,-0.002344260949086019
2023-04-20,17638.6,17684.45,17584.35,17624.45,215103396.0,19457.45,0.000323518978361248
2023-04-21,17639.75,17663.2,17553.95,17624.05,230156645.0,19091.44,-2.2695743697065396e-05
2023-04-24,17707.55,17754.5,17612.5,17743.4,255740393.0,23142.94,0.006771996221073051
2023-04-25,17761.55,17807.45,17716.85,17769.25,297445999.0,28819.53,0.0014568797411995682
2023-04-26,17767.3,17827.75,17711.2,17813.6,233008677.0,21295.14,0.002495884744713406
2023-04-27,17813.1,17931.6,17797.9,17915.05,241434660.0,24454.15,0.00569508689989684
2023-04-28,17950.4,18089.15,17885.3,18065.0,290263674.0,27026.12,0.008370057577288481
2023-05-02,18124.8,18180.25,18101.75,18147.65,265216308.0,23615.47,0.004575145308607809
2023-05-03,18113.8,18116.35,18042.4,18089.85,226171254.0,19079.79,-0.003184985383782646
2023-05-04,18081.0,18267.45,18066.7,18255.8,226643581.0,21889.48,0.009173652628407636
2023-05-05,18117.3,18216.95,18055.45,18069.0,239702311.0,26152.88,-0.010232364508813596
2023-05-08,18120.6,18286.95,18100.3,18264.4,228399379.0,22687.94,0.010814101499806439
2023-05-09,18303.4,18344.2,18229.65,18265.95,245368649.0,23478.06,8.486454523559672e-05
2023-05-10,18313.6,18326.75,18211.95,18315.1,220450874.0,21416.41,0.002690799000325539
2023-05-11,18357.8,18389.7,18270.4,18297.0,248932544.0,26440.1,-0.0009882555923800274
2023-05-12,18273.75,18342.75,18194.55,18314.8,241702589.0,22046.04,0.000972837077116484
2023-05-15,18339.3,18458.9,18287.9,18398.85,216088535.0,19329.75,0.004589184703081672
2023-05-16,18432.35,18432.35,18264.35,18286.5,219490491.0,21063.78,-0.006106359908363723
2023-05-17,18300.45,18309.0,18115.35,18181.75,229898510.0,20903.12,-0.005728269488420423
2023-05-18,18287.5,18297.2,18104.85,18129.95,272103515.0,24172.44,-0.0028490106837900653
2023-05-19,18186.15,18218.1,18060.4,18203.4,260898407.0,22105.67,0.004051307367091583
2023-05-22,18201.1,18335.25,18178.85,18314.4,262560942.0,25147.58,0.006097761956557646
2023-05-23,18362.9,18419.75,18324.2,18348.0,270354216.0,28648.15,0.001834621936836589
2023-05-24,18294.8,18392.6,18262.95,18285.4,232621507.0,24273.17,-0.003411816001744006
2023-05-25,18268.9,18338.1,18202.4,18321.15,235915651.0,22411.41,0.001955111728482839
2023-05-26,18368.35,18508.55,18333.15,18499.35,198668359.0,19094.08,0.009726463677225405
2023-05-29,18619.15,18641.2,18581.25,18598.65,265323978.0,19237.57,0.005367756164405879
2023-05-30,18606.65,18662.45,18575.5,18633.85,234391323.0,21660.69,0.0018926104851695325
2023-05-31,18594.2,18603.9,18483.85,18534.4,696495765.0,70755.08,-0.005337061315831004
2023-06-01,18579.4,18580.3,18464.55,18487.75,265630759.0,24056.99,-0.0025169414709945714
2023-06-02,18550.85,18573.7,18478.4,18534.1,270923679.0,23171.88,0.002507065489310456
2023-06-05,18612.0,18640.15,18582.8,18593.85,256111496.0,20369.16,0.003223787505193032
2023-06-06,18600.8,18622.75,18531.6,18599.0,220789926.0,21957.47,0.00027697330031184464
2023-06-07,18665.6,18738.95,18636.0,18726.4,260109671.0,21482.77,0.00684983063605582
2023-06-08,18725.35,18777.9,18615.6,18634.55,286468927.0,22762.3,-0.004904840225564033
2023-06-09,18655.9,18676.65,18555.4,18563.4,221760885.0,20181.42,-0.0038181764518058214
2023-06-12,18595.05,18633.6,18559.75,18601.5,179463966.0,15386.04,0.0020524257409741953
2023-06-13,18631.8,18728.9,18631.8,18716.15,233167883.0,22612.62,0.006163481439668939
2023-06-14,18744.6,18769.7,18690.0,18755.9,261354575.0,19520.08,0.002123834228727528
2023-06-15,18774.45,18794.1,18669.05,18688.1,263004991.0,24820.77,-0.0036148625232594878
2023-06-16,18723.3,18864.7,18710.5,18826.0,272771256.0,28877.67,0.007379027295444818
2023-06-19,18873.3,18881.45,18719.15,18755.45,219815214.0,22699.84,-0.0037474768936576197
2023-06-20,18752.35,18839.7,18660.65,18816.7,211649257.0,19687.08,0.0032657174314665305
2023-06-21,18849.4,18875.9,18794.85,18856.85,217481345.0,19102.48,0.002133742898595248
2023-06-22,18853.6,18886.6,18759.5,18771.25,252697871.0,24990.87,-0.004539464438652163
2023-06-23,18741.85,18756.4,18647.1,18665.5,210562119.0,20619.6,-0.005633615236065759
2023-06-26,18682.35,18722.05,18646.7,18691.2,171271325.0,17355.14,0.001376871768771215
2023-06-27,18748.55,18829.25,18714.25,18817.4,222464605.0,21415.89,0.0067518404382811426
2023-06-28,18908.15,19011.25,18861.35,18972.1,398782019.0,37356.94,0.008221114500408966
2023-06-30,19076.85,19201.7,19024.6,19189.05,247906587.0,26376.62,0.011435212759789426
2023-07-03,19246.5,19345.1,19234.4,19322.55,226050219.0,22681.54,0.0069570927169402275
2023-07-04,19406.6,19434.15,19300.0,19389.0,226916635.0,26634.06,0.0034389870902133968
2023-07-05,19405.95,19421.6,19339.6,19398.5,224418797.0,24699.24,0.0004899685388621844
2023-07-06,19385.7,19512.2,19373.0,19497.3,268261285.0,28540.18,0.0050931773075237885
2023-07-07,19422.8,19523.6,19303.6,19331.8,237102566.0,23089.25,-0.008488354797843822
2023-07-10,19400.35,19435.85,19327.1,19355.9,268246132.0,25991.55,0.0012466505964268126
2023-07-11,19427.1,19515.1,19406.45,19439.4,251263638.0,26883.78,0.0043139301194985435
2023-07-12,19497.45,19507.7,19361.75,19384.3,327941559.0,40163.14,-0.00283444962293089
2023-07-13,19495.2,19567.0,19385.8,19413.75,310442517.0,27244.56,0.0015192707500399916
2023-07-14,19493.45,19595.35,19433.5,19564.5,291165841.0,25484.44,0.007765114931427508
2023-07-17,19612.15,19731.85,19562.95,19711.45,268707894.0,25975.57,0.007511053183061112
2023-07-18,19787.5,19819.45,19690.2,19749.25,286353897.0,33269.08,0.0019176671427012515
2023-07-19,19802.95,19851.7,19727.45,19833.15,259660464.0,26447.9,0.004248262592250418
