Date,Close,Open,High,Low
05/30/2025,19783.81,19743.85,19824.37,19613.92
05/29/2025,19743.85,19678.94,19750.83,19603.81
05/28/2025,19678.94,19829.89,19829.89,19655.42
05/27/2025,19829.89,19534.84,19838.76,19534.84
05/23/2025,19534.84,19564.71,19587.79,19390.86
05/22/2025,19564.71,19607.81,19659.59,19476.69
05/21/2025,19607.81,19942.21,19942.21,19592.14
05/20/2025,19942.21,19975.09,19993.74,19870.99
05/19/2025,19975.09,19934.06,19981.26,19782.47
05/16/2025,19934.06,19784.69,19934.06,19754.71
05/15/2025,19784.69,19628.46,19791.56,19585.90
05/14/2025,19628.46,19723.38,19742.75,19598.03
05/13/2025,19723.38,19711.55,19794.42,19675.29
05/12/2025,19711.55,19319.20,19716.90,19319.20
05/09/2025,19319.20,19314.18,19406.62,19292.86
05/08/2025,19314.18,19262.38,19491.18,19262.38
05/07/2025,19262.38,19182.16,19332.33,19176.86
05/06/2025,19182.16,19303.23,19310.66,19138.41
05/05/2025,19303.23,19386.68,19400.55,19253.81
05/02/2025,19386.68,19049.84,19420.79,19049.84
05/01/2025,19049.84,19114.24,19191.12,19032.87
04/30/2025,19114.24,19089.21,19149.94,18753.59
04/29/2025,19089.21,18971.73,19130.84,18924.72
04/28/2025,18971.73,18899.80,19030.68,18822.43
04/25/2025,18899.80,18895.41,18909.46,18743.76
04/24/2025,18895.41,18631.09,18918.29,18600.12
04/23/2025,18631.09,18455.14,18944.28,18455.14
04/22/2025,18455.14,18032.37,18491.26,18032.37
04/21/2025,18032.37,18367.12,18367.12,17857.80
04/17/2025,18367.12,18245.65,18514.98,18245.65
04/16/2025,18245.65,18430.04,18503.18,18124.48
04/15/2025,18430.04,18432.25,18604.06,18421.55
04/14/2025,18432.25,18219.65,18521.09,18219.65
04/11/2025,18219.65,17890.57,18278.20,17780.59
04/10/2025,17890.57,18398.48,18398.48,17441.03
04/09/2025,18398.48,17188.46,18484.44,16925.60
04/08/2025,17188.46,17438.64,18002.57,16956.31
04/07/2025,17438.64,17618.61,18021.29,16820.11
04/04/2025,17618.61,18767.19,18767.19,17583.70
04/03/2025,18767.19,19532.74,19532.74,18758.31
04/02/2025,19532.74,19398.28,19563.23,19258.07
04/01/2025,19398.28,19395.86,19463.54,19204.15
03/31/2025,19395.86,19270.30,19471.92,19044.55
03/28/2025,19270.30,19534.72,19534.72,19227.11
03/27/2025,19534.72,19585.83,19631.86,19448.85
03/26/2025,19585.83,19678.44,19741.66,19529.37
03/25/2025,19678.44,19704.21,19772.26,19615.99
03/24/2025,19704.21,19454.30,19724.24,19454.30
03/21/2025,19454.30,19537.27,19537.27,19308.69
03/20/2025,19537.27,19581.32,19617.66,19446.48
03/19/2025,19581.32,19421.58,19663.59,19417.75
03/18/2025,19421.58,19494.71,19495.67,19348.40
03/17/2025,19494.71,19231.35,19551.03,19231.35
03/14/2025,19231.35,18875.53,19245.38,18875.53
03/13/2025,18875.53,19051.64,19068.20,18818.53
03/12/2025,19051.64,19052.13,19185.92,18912.91
03/11/2025,19052.13,19202.38,19202.38,18930.06
03/10/2025,19202.38,19573.06,19573.06,19052.78
03/07/2025,19573.06,19506.34,19607.91,19291.71
03/06/2025,19506.34,19754.57,19754.57,19428.01
03/05/2025,19754.57,19495.56,19794.69,19495.56
03/04/2025,19495.56,19823.48,19823.48,19383.39
03/03/2025,19823.48,20028.19,20161.90,19714.45
02/28/2025,20028.19,19808.15,20035.83,19730.95
02/27/2025,19808.15,19932.85,20042.99,19803.33
02/26/2025,19932.85,19924.05,20080.90,19889.24
02/25/2025,19924.05,19859.20,19990.90,19775.61
