Date,Close,Open,High,Low,Vol.,Change %
2005-08-30,7397.1,7414.0,7414.0,7363.3,,-0.23%
2005-08-31,7496.1,7397.1,7496.1,7395.4,,1.34%
2005-09-01,7543.9,7496.1,7564.3,7495.2,,0.64%
2005-09-02,7531.1,7543.9,7555.4,7527.9,,-0.17%
2005-09-06,7619.0,7531.1,7619.8,7531.1,,1.17%
2005-09-08,7594.6,7625.2,7625.2,7584.8,,-0.40%
2005-09-09,7663.8,7594.6,7667.6,7594.6,,0.91%
2005-09-12,7637.5,7663.8,7663.8,7631.8,,-0.34%
2005-09-13,7578.2,7637.6,7637.6,7578.2,,-0.78%
2005-09-14,7577.3,7578.2,7606.2,7570.1,,-0.01%
2005-09-15,7583.1,7577.3,7600.9,7568.0,,0.08%
2005-09-16,7646.3,7583.2,7647.0,7583.2,,0.83%
2005-09-19,7611.9,7646.3,7647.3,7598.1,,-0.45%
2005-09-20,7562.8,7611.9,7643.4,7557.9,,-0.65%
2005-09-21,7515.0,7562.7,7565.8,7513.9,,-0.63%
2005-09-22,7519.9,7515.0,7528.2,7471.9,,0.07%
2005-09-23,7518.9,7519.9,7534.3,7481.1,,-0.01%
2005-09-26,7556.4,7518.9,7579.6,7518.9,,0.50%
2005-09-27,7548.6,7556.5,7566.5,7519.2,,-0.10%
2005-09-28,7575.1,7548.6,7587.6,7548.6,,0.35%
2005-09-29,7632.5,7575.1,7634.7,7551.2,,0.76%
2005-09-30,7633.0,7632.4,7642.8,7610.9,,0.01%
2005-10-03,7626.2,7633.0,7652.9,7611.9,,-0.09%
2005-10-04,7558.1,7626.2,7641.9,7556.6,,-0.89%
2005-10-05,7436.4,7558.1,7558.1,7435.8,,-1.61%
2005-10-06,7399.7,7436.4,7459.6,7350.5,,-0.49%
2005-10-07,7435.2,7400.1,7449.7,7400.1,,0.48%
2005-10-10,7385.6,7435.7,7441.4,7376.7,,-0.67%
2005-10-11,7380.8,7386.3,7425.1,7373.5,,-0.06%
2005-10-13,7293.1,7322.7,7322.7,7234.6,,-0.40%
2005-10-14,7362.6,7293.1,7364.6,7284.6,,0.95%
2005-10-17,7370.8,7362.6,7374.5,7342.4,,0.11%
2005-10-18,7277.9,7370.8,7370.8,7277.5,,-1.26%
2005-10-19,7363.1,7277.9,7363.1,7220.4,,1.17%
2005-10-20,7234.1,7363.1,7363.2,7211.1,,-1.75%
2005-10-21,7254.5,7234.1,7287.1,7226.6,,0.28%
2005-10-24,7374.5,7254.5,7374.5,7254.5,,1.65%
2005-10-25,7361.8,7374.4,7396.3,7327.2,,-0.17%
2005-10-26,7334.8,7361.8,7407.8,7334.8,,-0.37%
2005-10-27,7263.3,7334.8,7346.4,7263.3,,-0.97%
2005-10-28,7369.6,7263.3,7369.6,7263.3,,1.46%
2005-10-31,7433.1,7369.5,7453.3,7369.5,,0.86%
2005-11-01,7425.2,7433.1,7447.4,7411.2,,-0.11%
2005-11-02,7509.8,7425.2,7509.8,7419.7,,1.14%
2005-11-07,7519.4,7507.5,7527.7,7486.8,,0.16%
2005-11-08,7489.7,7519.4,7519.4,7468.9,,-0.39%
2005-11-09,7501.0,7489.7,7530.3,7470.8,,0.15%
2005-11-10,7530.1,7501.1,7543.0,7453.4,,0.39%
2005-11-11,7561.4,7530.1,7566.2,7528.0,,0.42%
2005-11-14,7549.2,7561.4,7568.9,7538.8,,-0.16%
2005-11-16,7519.0,7509.4,7519.1,7489.7,,0.13%
2005-11-17,7601.1,7518.6,7601.7,7518.6,,1.09%
2005-11-18,7634.6,7601.1,7638.0,7595.4,,0.44%
2005-11-21,7676.6,7634.6,7679.7,7633.2,,0.55%
2005-11-22,7715.4,7676.6,7716.8,7644.0,,0.51%
2005-11-23,7743.3,7715.4,7768.0,7707.9,,0.36%
2005-11-25,7747.5,7743.4,7754.9,7733.1,,0.05%
2005-11-28,7687.4,7747.5,7747.5,7687.4,,-0.78%
2005-11-29,7693.0,7687.4,7733.8,7687.4,,0.07%
2005-11-30,7645.3,7693.0,7700.2,7644.7,,-0.62%
2005-12-01,7756.5,7645.5,7760.0,7645.5,,1.45%
2005-12-02,7760.9,7756.5,7767.1,7739.5,,0.06%
2005-12-05,7759.2,7760.8,7767.8,7733.7,,-0.02%
2005-12-06,7775.9,7759.2,7817.1,7759.2,,0.22%
2005-12-07,7731.3,7775.6,7779.2,7710.0,,-0.57%
2005-12-08,7743.4,7731.3,7780.2,7720.4,,0.16%
2005-12-09,7762.6,7743.4,7780.6,7738.1,,0.25%
2005-12-12,7791.0,7762.6,7807.9,7762.6,,0.37%
2005-12-13,7825.0,7791.0,7851.1,7782.7,,0.44%
2005-12-14,7852.2,7825.0,7867.6,7825.0,,0.35%
2005-12-15,7815.7,7852.2,7852.6,7803.5,,-0.46%
2005-12-16,7814.0,7815.8,7855.8,7811.4,,-0.02%
2005-12-19,7778.6,7814.0,7836.2,7775.9,,-0.45%
2005-12-20,7777.3,7778.6,7796.2,7765.7,,-0.02%
2005-12-21,7806.8,7777.3,7832.5,7777.3,,0.38%
2005-12-22,7833.8,7806.7,7834.0,7806.7,,0.35%
2005-12-23,7841.9,7833.8,7845.6,7824.2,,0.10%
2005-12-27,7767.9,7841.9,7851.2,7767.9,,-0.94%
2005-12-28,7795.8,7767.9,7806.5,7767.9,,0.36%
2005-12-29,7788.1,7795.8,7815.8,7788.0,,-0.10%
2005-12-30,7753.9,7788.1,7788.1,7736.7,,-0.44%
2006-01-03,7912.4,7754.0,7916.5,7754.0,,2.04%
2006-01-04,7962.9,7912.4,7967.1,7911.1,,0.64%
2006-01-05,7944.1,7962.9,7965.9,7928.6,,-0.24%
2006-01-06,8031.7,7944.1,8037.0,7944.1,,1.10%
2006-01-09,8053.4,8031.7,8055.6,8026.0,,0.27%
2006-01-10,8030.6,8053.4,8053.4,7993.8,,-0.28%
2006-01-12,8008.1,8063.5,8064.7,8003.5,,-0.69%
2006-01-13,8025.9,8008.2,8026.6,7998.9,,0.22%
2006-01-17,7992.6,8025.9,8025.9,7964.6,,-0.41%
2006-01-18,7953.0,7992.6,7992.6,7915.5,,-0.50%
2006-01-19,8018.2,7953.6,8028.9,7953.6,,0.82%
2006-01-20,7902.3,8018.2,8018.9,7901.4,,-1.45%
2006-01-23,7953.9,7902.4,7968.6,7902.4,,0.65%
2006-01-24,7973.0,7953.9,7992.5,7951.7,,0.24%
2006-01-25,7969.5,7973.0,8009.2,7943.2,,-0.04%
2006-01-27,8096.1,8044.1,8118.0,8043.1,,0.65%
2006-01-30,8105.2,8096.1,8117.6,8092.0,,0.11%
2006-01-31,8106.6,8105.2,8130.2,8084.5,,0.02%
2006-02-01,8112.2,8106.4,8126.9,8091.7,,0.07%
2006-02-02,8038.0,8112.2,8112.2,8021.7,,-0.91%
2006-02-03,8001.4,8037.9,8037.9,7968.8,,-0.46%
2006-02-06,8019.9,8001.4,8025.4,7996.2,,0.23%
2006-02-07,7932.5,8019.9,8019.9,7925.9,,-1.09%
2006-02-08,7974.9,7932.5,7978.6,7912.7,,0.53%
2006-02-10,7980.0,7980.2,7996.6,7922.1,,0.00%
2006-02-13,7947.8,7980.0,7980.0,7927.5,,-0.40%
2006-02-14,8021.6,7947.8,8031.5,7928.6,,0.93%
2006-02-15,8019.8,8021.5,8046.4,7978.1,,-0.02%
2006-02-16,8086.7,8019.8,8086.8,8019.8,,0.83%
2006-02-17,8092.4,8086.8,8100.4,8070.3,,0.07%
2006-02-21,8082.7,8092.3,8129.6,8075.4,,-0.12%
2006-02-22,8128.2,8082.6,8131.7,8081.7,,0.56%
2006-02-23,8107.8,8128.2,8137.8,8091.9,,-0.25%
2006-02-24,8126.0,8107.8,8140.5,8106.5,,0.22%
2006-02-27,8139.7,8126.0,8156.3,8126.0,,0.17%
2006-02-28,8060.6,8139.6,8139.6,8047.0,,-0.97%
2006-03-01,8130.6,8060.4,8133.7,8060.4,,0.87%
2006-03-02,8126.5,8130.6,8130.6,8082.4,,-0.05%
2006-03-03,8119.9,8126.5,8165.1,8096.2,,-0.08%
2006-03-06,8067.4,8119.9,8131.2,8054.0,,-0.65%
2006-03-07,8017.4,8067.4,8067.4,7990.2,,-0.62%
2006-03-08,8026.1,8017.3,8033.3,7963.3,,0.11%
2006-03-09,8007.8,8026.1,8062.7,8007.8,,-0.23%
2006-03-10,8079.2,8007.8,8084.6,8000.7,,0.89%
2006-03-13,8114.1,8079.2,8126.4,8079.2,,0.43%
2006-03-14,8197.6,8114.1,8200.5,8109.0,,1.03%
